日期,渠道名称,新增用户,活跃用户,付费用户,新增付费用户,收入,新增用户收入,渠道收入占比,付费率,ARPPU,ARPU,新增次日留存率,新增7日后留存率
2016/1/1,渠道D,39861,214859,6135,4277,108079,24758,0.250 ,0.029 ,17.620 ,0.500 ,0.301 ,0.078 
2016/1/1,渠道E,44578,193292,4788,3458,82938,22267,0.192 ,0.025 ,17.320 ,0.430 ,0.294 ,0.081 
2016/1/1,渠道B,69525,170573,2477,2011,44455,18261,0.103 ,0.015 ,17.950 ,0.260 ,0.217 ,0.042 
2016/1/1,渠道J,74646,170497,2928,2408,57087,27298,0.132 ,0.017 ,19.500 ,0.330 ,0.246 ,0.047 
2016/1/1,渠道A,42694,149968,3264,2473,60599,15280,0.140 ,0.022 ,18.570 ,0.400 ,0.304 ,0.080 
2016/1/1,渠道C,29349,121022,2810,2039,49376,14902,0.114 ,0.023 ,17.570 ,0.410 ,0.308 ,0.077 
2016/1/1,渠道G,30431,50167,346,293,8323,4212,0.019 ,0.007 ,24.060 ,0.170 ,0.186 ,0.031 
2016/1/1,渠道F,9588,27850,359,185,10249,2287,0.024 ,0.013 ,28.550 ,0.370 ,0.322 ,0.060 
2016/1/1,渠道H,3491,13999,641,374,7168,2623,0.017 ,0.046 ,11.180 ,0.510 ,0.169 ,0.037 
2016/1/1,渠道I,1535,7940,228,168,3968,956,0.009 ,0.029 ,17.400 ,0.500 ,0.306 ,0.065 
2016/1/2,渠道D,36968,199509,5531,3696,96265,20792,0.241 ,0.028 ,17.400 ,0.480 ,0.286 ,0.107 
2016/1/2,渠道E,41902,181541,4291,2989,74468,18420,0.186 ,0.024 ,17.350 ,0.410 ,0.281 ,0.104 
2016/1/2,渠道J,61856,158488,2763,2144,54161,20498,0.136 ,0.017 ,19.600 ,0.340 ,0.237 ,0.075 
2016/1/2,渠道B,58070,153990,2260,1796,40911,15993,0.102 ,0.015 ,18.100 ,0.270 ,0.214 ,0.066 
2016/1/2,渠道A,37444,140874,3078,2233,59892,15600,0.150 ,0.022 ,19.460 ,0.430 ,0.295 ,0.107 
2016/1/2,渠道C,25989,113124,2510,1794,44111,12231,0.110 ,0.022 ,17.570 ,0.390 ,0.297 ,0.113 
2016/1/2,渠道G,23481,43747,357,286,8244,3009,0.021 ,0.008 ,23.090 ,0.190 ,0.179 ,0.048 
2016/1/2,渠道F,8952,26677,448,250,10931,2656,0.027 ,0.017 ,24.400 ,0.410 ,0.296 ,0.089 
2016/1/2,渠道H,3136,12926,634,380,7338,2401,0.018 ,0.049 ,11.570 ,0.570 ,0.172 ,0.059 
2016/1/2,渠道I,1377,7296,176,119,3013,773,0.008 ,0.024 ,17.120 ,0.410 ,0.300 ,0.105 
2016/1/3,渠道D,29294,175890,4609,3042,78114,16788,0.254 ,0.026 ,16.950 ,0.440 ,0.223 ,0.109 
2016/1/3,渠道E,32304,161064,3722,2597,60017,13330,0.195 ,0.023 ,16.120 ,0.370 ,0.226 ,0.107 
2016/1/3,渠道J,46071,133921,2169,1626,38961,12763,0.126 ,0.016 ,17.960 ,0.290 ,0.171 ,0.073 
2016/1/3,渠道B,44912,131645,1907,1464,32049,12634,0.104 ,0.015 ,16.810 ,0.240 ,0.164 ,0.066 
2016/1/3,渠道A,29701,125489,2600,1758,46488,10107,0.151 ,0.021 ,17.880 ,0.370 ,0.241 ,0.116 
2016/1/3,渠道C,20318,100111,1901,1281,30171,7050,0.098 ,0.019 ,15.870 ,0.300 ,0.226 ,0.109 
2016/1/3,渠道G,17788,36408,276,199,5988,2137,0.019 ,0.008 ,21.700 ,0.160 ,0.130 ,0.048 
2016/1/3,渠道F,7051,23151,386,202,7203,1819,0.023 ,0.017 ,18.660 ,0.310 ,0.202 ,0.078 
2016/1/3,渠道H,2481,11104,537,293,6366,1350,0.021 ,0.048 ,11.860 ,0.570 ,0.128 ,0.052 
2016/1/3,渠道I,1155,6463,166,113,2754,766,0.009 ,0.026 ,16.590 ,0.430 ,0.222 ,0.096 
2016/1/4,渠道D,14707,115752,2579,1603,39521,7325,0.240 ,0.022 ,15.320 ,0.340 ,0.314 ,0.098 
2016/1/4,渠道E,17624,109976,2201,1463,32091,6547,0.195 ,0.020 ,14.580 ,0.290 ,0.316 ,0.103 
2016/1/4,渠道A,17116,86486,1675,1108,27386,5394,0.167 ,0.019 ,16.350 ,0.320 ,0.332 ,0.108 
2016/1/4,渠道B,23040,82496,1107,815,17173,6159,0.104 ,0.013 ,15.510 ,0.210 ,0.242 ,0.059 
2016/1/4,渠道J,20804,77696,1265,889,21617,5754,0.132 ,0.016 ,17.090 ,0.280 ,0.271 ,0.062 
2016/1/4,渠道C,11321,65792,1025,684,14443,2897,0.088 ,0.016 ,14.090 ,0.220 ,0.329 ,0.096 
2016/1/4,渠道G,7717,19502,160,114,3322,832,0.020 ,0.008 ,20.760 ,0.170 ,0.205 ,0.043 
2016/1/4,渠道F,2815,13430,231,114,3826,849,0.023 ,0.017 ,16.560 ,0.280 ,0.317 ,0.070 
2016/1/4,渠道H,1369,7049,329,163,3543,1416,0.022 ,0.047 ,10.770 ,0.500 ,0.206 ,0.059 
2016/1/4,渠道I,622,4150,86,52,1445,334,0.009 ,0.021 ,16.800 ,0.350 ,0.312 ,0.080 
2016/1/5,渠道D,14525,114103,2183,1338,36351,7016,0.228 ,0.019 ,16.650 ,0.320 ,0.326 ,0.101 
2016/1/5,渠道E,17664,110220,1896,1267,29434,5741,0.185 ,0.017 ,15.520 ,0.270 ,0.326 ,0.116 
2016/1/5,渠道A,17261,86886,1532,1003,26392,5137,0.166 ,0.018 ,17.230 ,0.300 ,0.345 ,0.115 
2016/1/5,渠道B,22767,81292,1029,766,19232,6484,0.121 ,0.013 ,18.690 ,0.240 ,0.262 ,0.064 
2016/1/5,渠道J,22926,79071,1141,851,21047,7187,0.132 ,0.014 ,18.450 ,0.270 ,0.284 ,0.066 
2016/1/5,渠道C,12260,66825,964,633,14710,2886,0.092 ,0.014 ,15.260 ,0.220 ,0.330 ,0.107 
2016/1/5,渠道G,6577,17774,114,80,2619,669,0.016 ,0.006 ,22.970 ,0.150 ,0.206 ,0.044 
2016/1/5,渠道F,2883,13164,256,115,4413,823,0.028 ,0.019 ,17.240 ,0.340 ,0.331 ,0.080 
2016/1/5,渠道H,1417,7197,354,180,3789,950,0.024 ,0.049 ,10.700 ,0.530 ,0.200 ,0.055 
2016/1/5,渠道I,672,4172,75,50,1432,342,0.009 ,0.018 ,19.090 ,0.340 ,0.323 ,0.080 
2016/1/6,渠道D,14776,112781,1985,1227,33893,5888,0.223 ,0.018 ,17.070 ,0.300 ,0.330 ,0.109 
2016/1/6,渠道E,17741,109928,1963,1308,30860,6664,0.203 ,0.018 ,15.720 ,0.280 ,0.327 ,0.110 
2016/1/6,渠道A,17893,88418,1429,988,24223,5041,0.159 ,0.016 ,16.950 ,0.270 ,0.355 ,0.116 
2016/1/6,渠道B,22614,80833,992,737,18240,6666,0.120 ,0.012 ,18.390 ,0.230 ,0.266 ,0.068 
