player_id,pay_recency,pay_cnt,pay_mnt,pay_all_cnt,pay_all_mnt,paycnt_per_day,paymnt_per_day,paymnt_per_time
1,3,2,48,5,109,0,9,24
2,2,2,7,2,7,0,1,3
3,0,1,6,2,7,0,2,6
4,6,2,31,3,32,1,15,15
5,4,1,6,1,6,1,6,6
6,4,5,73,16,278,1,14,14
7,2,1,6,4,14,0,0,6
8,3,1,6,1,6,0,2,6
9,1,1,25,14,499,0,3,25
10,2,1,30,9,291,0,7,30
11,1,1,6,35,1546,0,0,6
12,6,1,6,1,6,0,0,6
13,0,3,85,12,511,0,12,28
14,6,1,6,1,6,0,1,6
15,1,2,2,2,2,1,1,1
16,6,1,6,3,13,0,3,6
17,2,1,18,23,257,0,2,18
18,2,2,2,2,2,0,0,1
19,0,1,6,1,6,0,2,6
20,0,4,152,41,2165,0,21,38
21,0,1,30,5,111,0,4,30
22,0,3,85,11,318,0,12,28
23,3,1,25,20,1639,0,3,25
24,0,4,481,9,539,0,68,120
25,0,1,6,11,431,0,0,6
26,5,1,6,2,7,0,1,6
27,0,2,31,14,1098,0,5,15
28,6,1,98,7,300,0,19,98
29,4,1,1,1,1,0,0,1
30,3,1,6,3,13,0,0,6
31,0,1,25,7,135,0,5,25
32,3,1,6,3,8,0,0,6
33,1,1,25,5,101,0,3,25
34,1,2,31,12,283,0,4,15
35,0,2,55,23,1115,0,9,27
36,0,2,55,6,377,0,13,27
37,1,1,1,3,13,0,0,1
38,3,1,18,13,209,0,2,18
39,0,1,25,6,107,0,3,25
40,2,3,18,17,171,0,2,6
41,0,1,25,4,33,0,4,25
42,4,1,18,7,87,0,2,18
43,0,1,6,3,13,0,0,6
44,4,1,1,1,1,1,1,1
45,0,3,551,11,1255,0,78,183
46,6,3,54,14,506,0,7,18
47,1,2,204,2,204,1,102,102
48,0,3,944,9,1049,0,134,314
49,5,2,7,2,7,0,1,3
50,0,2,7,2,7,0,1,3
51,1,2,31,6,161,0,4,15
52,4,1,25,6,88,0,3,25
53,0,3,90,35,3147,0,12,30
54,5,3,30,5,56,0,4,10
55,2,1,6,13,123,0,0,6
56,4,1,25,5,58,0,3,25
57,0,1,6,1,6,0,0,6
58,0,1,30,1,30,1,30,30
59,5,1,6,1,6,0,1,6
60,0,1,30,14,261,0,4,30
61,0,1,25,34,5134,0,3,25
62,2,1,25,5,77,0,3,25
63,1,2,673,14,1088,0,96,336
