日期,沉睡保险箱结余,沉睡身上携带,活跃保险箱余额,活跃身上携带,游戏币发放,纯消耗,日活跃用户,月活跃用户数,日活跃/月活跃,登陆用户数,日ARPPU,日充值总额,日付费用户数,首付用户数,付费次数,日新增用户,累增用户,在线均值,在玩均值,最高在线,在玩峰值,玩牌人数,没玩牌人数,台费消耗,破产用户数,30日流失
2015/2/1,33509199 ,91715069 ,75285112 ,144190968 ,12010870 ,10739030 ,273633,1208187,0.23,241337,34.00,61685,1814,150,3703,5187,6526370,12903,7252,33423,14501,169941,273633,7502192200,14000,484842
2015/2/2,33551352 ,91826094 ,75104606 ,144030405 ,10173427 ,10555737 ,266170,1201088,0.22,232868,25.01,45950,1855,167,3622,5466,6531836,12776,7227,31873,13707,165996,266170,7869743120,13940,491110
2015/2/3,33710089 ,91933886 ,75316301 ,145099484 ,11797781 ,10719592 ,263994,1192915,0.22,233279,32.19,56353,1751,134,3532,5648,6537484,12808,7290,33451,14323,163441,263994,7690082800,13739,496554
2015/2/4,33859971 ,92110100 ,75871794 ,147527972 ,14251275 ,10636037 ,272156,1185782,0.23,239112,49.00,81591,1665,123,3442,4841,6542325,12325,6901,34491,14687,167328,272156,7660858960,13192,503106
2015/2/5,33958756 ,92325366 ,75621876 ,147979523 ,11374206 ,11138256 ,274758,1178374,0.23,242275,28.34,50362,1777,174,3459,3961,6546286,12812,7157,34587,13906,170786,274758,8072314060,13842,508197
2015/2/6,34043025 ,92430919 ,75496596 ,149396942 ,12994231 ,11656361 ,273585,1173244,0.23,240909,39.28,64896,1652,134,3362,3452,6549738,13199,7481,34815,14884,173562,273585,8689348850,13468,510325
2015/2/7,34170008 ,92529971 ,75974968 ,149301797 ,12925528 ,12307228 ,268261,1169130,0.23,235092,39.73,66751,1680,136,3462,5009,6554747,12541,7091,33481,14309,174044,268261,9130239910,13495,511365
2015/2/8,34277293 ,92659852 ,75907394 ,150485767 ,13707317 ,12055833 ,259689,1166155,0.22,227658,42.71,70435,1649,127,3545,4775,6559522,12310,6987,32351,14173,166440,259689,8346701290,13289,510526
2015/2/9,34371994 ,92729949 ,75753928 ,151784767 ,12381278 ,11152076 ,246912,1162442,0.21,208295,41.66,70742,1698,145,3607,5199,6564721,12099,6977,30434,13277,163930,246912,8523886210,13472,512732
2015/2/10,34464348 ,92792062 ,75549912 ,151078161 ,9805542 ,10598163 ,236789,1157742,0.2,207418,28.98,46884,1618,113,3329,5068,6569789,12022,6990,32270,13494,161460,236789,8105228550,13205,516187
2015/2/11,34514968 ,92962357 ,75995694 ,152385286 ,12872131 ,10933798 ,236353,1149147,0.21,204510,42.49,70834,1667,138,3482,3889,6573678,11637,6707,32907,14220,160280,236353,8128572350,12577,520600
2015/2/12,34603331 ,93125857 ,75444022 ,154268612 ,12751624 ,11108627 ,251469,1141318,0.22,219103,41.39,67299,1626,123,3519,3642,6577320,12452,7158,33689,14341,168468,251469,8261993880,13587,526988
2015/2/13,34814518 ,93354167 ,76150061 ,153479445 ,11925613 ,11376495 ,250250,1139502,0.22,217825,38.59,60587,1570,119,3308,3862,6581182,12230,7010,33325,14002,167705,250250,8481942570,13253,525422
2015/2/14,34963820 ,93605506 ,76568084 ,153307527 ,11076978 ,10930508 ,255495,1136387,0.22,224235,35.44,53731,1516,111,3246,3444,6584626,11747,6646,31654,13333,162481,255495,7825703070,12627,523867
2015/2/15,35030668 ,93782793 ,77108410 ,153836201 ,10174522 ,9335184 ,249678,1126959,0.22,218563,34.59,52156,1508,112,3023,3254,6587880,10988,6182,32197,13851,157787,249678,7064008340,11500,529053
2015/2/16,35188156 ,93951723 ,77374083 ,152578369 ,10543469 ,10375145 ,264603,1126191,0.23,233240,32.66,53173,1628,117,3372,4337,6592217,12248,6966,32084,13810,169332,264603,7761990120,13255,528434
2015/2/17,35223232 ,94105183 ,78107658 ,151535306 ,10573671 ,11430138 ,263684,1126002,0.23,233158,26.76,44105,1648,143,3345,4550,6596767,12489,7140,32278,13750,168438,263684,8017067620,13384,527462
