日期,新增用户,七日留存率
6月1日,95648,0.0753
6月2日,72093,0.0881
6月3日,84027,0.0892
6月4日,130968,0.0749
6月5日,129277,0.0579
6月6日,79603,0.0497
6月7日,80485,0.0696
6月8日,99812,0.0628
6月9日,176422,0.055
6月10日,157126,0.0691
6月11日,139884,0.0682
6月12日,104875,0.0755
6月13日,78400,0.079
6月14日,74043,0.0795
6月15日,82547,0.0788
6月16日,85521,0.0801
6月17日,102930,0.0824
6月18日,160954,0.0894
6月19日,154282,0.0876
6月20日,85595,0.0806
6月21日,80501,0.08
6月22日,82218,0.0821
6月23日,92630,0.0815
6月24日,108706,0.0809
6月25日,150854,0.0811
6月26日,144837,0.0816
6月27日,106361,0.0753
6月28日,116854,0.0756
6月29日,137116,0.0758
6月30日,146560,0.073
