用户id,是否付费,注册至今距离天数,最后一周登陆天数,最后一周登陆次数,最后一周0-8点登陆次数,最后一周8-18点登陆次数,最后一周18-24点登陆次数
1,0,2,3,13,3,6,4
2,0,4,5,20,4,4,12
3,1,1,2,3,1,2,0
4,1,2,3,9,1,7,1
5,1,2,3,11,2,5,4
6,0,1,2,4,0,4,0
7,1,0,1,2,0,2,0
8,1,6,7,22,5,8,9
9,0,7,6,22,7,7,8
10,1,4,5,25,3,16,6
11,0,1,2,4,0,1,3
12,1,4,4,10,0,6,4
13,0,1,2,4,3,1,0
14,0,2,2,7,1,6,0
15,0,0,1,2,0,0,2
16,0,2,3,8,2,4,2
17,0,0,1,2,0,2,0
18,1,6,7,64,27,27,10
19,1,3,4,14,6,5,3
20,1,1,2,6,0,6,0
21,0,3,3,3,0,0,3
22,0,2,3,4,2,2,0
23,0,0,1,4,0,3,1
24,0,3,2,2,1,0,1
25,1,1,2,12,2,6,4
26,0,0,1,2,0,2,0
27,0,0,1,1,1,0,0
28,0,1,2,4,0,1,3
29,1,0,1,10,3,5,2
30,0,0,1,2,0,0,2
31,1,2,3,8,0,7,1
32,1,7,7,13,9,3,1
33,0,0,1,1,0,1,0
34,0,1,2,5,1,3,1
35,1,3,4,24,0,18,6
36,0,0,1,1,0,0,1
37,0,1,1,3,0,3,0
38,1,4,5,29,0,24,5
39,0,12,1,1,0,1,0
40,0,7,7,52,9,31,12
41,0,0,1,2,0,2,0
42,0,0,1,2,0,2,0
43,1,5,3,9,3,5,1
44,0,0,1,1,0,0,1
45,0,1,2,11,4,5,2
46,0,0,1,2,0,1,1
47,1,4,4,17,2,4,11
48,1,6,7,24,12,6,6
49,0,7,6,21,5,15,1
50,0,1,2,8,3,3,2
51,0,2,3,3,1,2,0
52,0,0,1,1,0,1,0
53,0,3,3,11,4,4,3
54,0,1,2,5,2,2,1
55,0,0,1,1,0,1,0
56,1,1,2,5,1,2,2
57,0,0,1,4,3,1,0
58,0,1,2,6,0,5,1
59,1,0,1,4,0,3,1
60,0,0,1,2,0,2,0
61,1,6,7,54,8,33,13
