用户id,性别,等级,站内好友数,经验值,积分,登录总次数,玩牌局数,赢牌局数,身上货币量
7795915,0,2,3,36,0,2,3,1,1000
7795912,0,3,2,83,0,2,8,1,800
7795909,1,0,0,0,5,3,,,800
7795906,0,0,0,0,0,1,,,0
7795900,0,0,3,0,0,2,,,800
7795898,0,2,1,10,0,2,,,760
7795886,0,0,0,0,0,1,,,0
7795881,0,6,1,534,5,3,75,24,150
7795877,0,3,0,122,0,2,15,3,100
7795876,0,4,0,220,0,2,23,12,18374
7795874,0,2,1,10,5,3,,,1800
7795862,0,2,1,28,0,2,6,,50
7795859,0,6,1,479,5,3,109,25,30258
7795857,0,3,0,91,0,2,10,2,830
7795853,1,1,0,3,0,2,2,,780
7795852,0,1,1,3,0,2,1,,800
7795847,0,5,4,456,5,3,80,28,100
7795825,1,2,0,8,0,2,2,,970
7795823,0,4,2,195,5,3,14,3,7920
7795821,0,3,3,64,0,2,7,5,1190
7795817,0,4,0,138,0,2,17,5,1000
7795807,0,0,0,0,0,2,,,800
7795806,1,6,0,538,0,2,50,14,0
7795805,0,2,1,13,0,2,2,,770
7795799,0,4,4,140,10,3,24,3,2730
7795796,0,3,0,88,0,2,12,5,530
7795794,0,0,1,0,0,2,,,800
7795790,0,3,1,68,0,2,8,1,740
7795786,0,0,2,0,0,2,,,800
7795776,0,8,5,1255,5,3,352,136,0
7795777,0,3,0,77,0,2,9,3,0
7795775,0,2,0,25,0,2,5,,100
7795773,0,5,1,376,5,3,37,8,0
7795771,0,3,1,118,0,2,15,5,200
7795766,0,3,2,101,0,2,13,3,630
7795763,1,1,0,3,0,2,1,,800
7795758,1,0,3,0,0,2,,,800
7795747,0,2,1,18,0,2,2,,980
7795741,1,2,10,41,0,2,8,,150
7795728,1,2,0,13,0,2,1,,1160
7795727,0,4,1,133,0,2,18,6,1000
7795726,0,2,1,19,0,2,4,,880
7795718,0,3,2,91,5,3,10,2,1530
7795714,0,3,8,58,0,2,4,2,1780
7795713,0,3,0,81,0,2,8,3,780
7795709,1,4,11,260,1,2,29,8,18379
7795707,0,2,1,35,0,2,3,1,910
7795702,0,3,3,117,0,2,12,5,880
7795697,1,2,1,5,0,2,1,,960
7795695,1,2,0,11,0,2,2,,1000
7795694,1,0,1,0,0,2,,,800
7795692,1,3,1,50,0,2,6,,0
7795691,1,0,2,0,0,2,,,800
7795690,1,2,1,8,0,2,2,,980
7795687,1,3,0,51,0,2,5,1,1290
7795685,0,0,0,0,0,2,,,800
7795681,1,0,0,0,0,2,,,800
7795680,1,2,0,8,0,2,1,,990
7795679,1,2,1,5,0,2,1,,980
7795677,0,3,2,62,0,2,6,5,1520
7795676,0,3,0,53,0,2,4,1,2260
7795675,0,5,0,353,5,3,53,16,7960
7795674,0,2,0,24,0,2,4,,780
7795672,0,2,1,34,0,2,3,,800
7795670,1,0,2,0,0,2,,,800
7795669,1,2,1,13,0,2,1,,800
7795668,1,2,0,8,0,2,2,,980
7795664,1,0,6,0,0,1,,,0
7795660,0,0,0,0,0,1,,,0
7795657,0,4,0,262,0,2,39,15,1020
7795658,1,2,0,5,0,2,1,,980
7795656,1,2,0,8,0,2,2,,960
7795654,1,0,0,0,0,2,,,800
7795652,0,3,0,74,0,2,8,1,840
7795650,1,2,4,8,0,2,1,,1000
7795648,1,0,5,0,0,2,,,800
7795643,0,2,0,13,0,2,1,,1160
7795641,0,0,0,0,0,2,,,800
7795640,0,0,0,0,0,2,,,800
7795637,1,2,0,8,0,2,2,,980
7795636,1,4,5,263,5,3,38,9,11300
7795635,0,0,0,0,0,2,,,800
7795633,1,4,3,129,0,2,14,5,1370
7795632,1,1,0,3,0,2,2,,780
7795630,1,3,5,85,0,2,13,2,195
7795629,0,0,3,0,0,2,,,800
7795628,1,2,0,8,0,2,2,,1030
7795627,0,0,0,0,0,2,,,800
7795623,1,2,0,8,0,2,2,,980
7795622,1,0,0,0,0,2,,,800
7795621,1,0,2,0,0,1,,,0
