渠道名称,游戏名称,是否付费,性别,年龄,登录天数,登录次数
渠道B,游戏E,否,男,39,5天以上,61-100次
渠道E,游戏C,否,男,50,5天以上,51至60次
渠道G,游戏A,否,男,38,5天以上,31至40次
渠道G,游戏C,否,男,53,3天,31至40次
渠道K,游戏C,否,女,28,3天,31至40次
渠道E,游戏C,否,女,37,5天以上,31至40次
渠道I,游戏D,否,女,49,3天,31至40次
渠道E,游戏C,是,男,52,5天以上,51至60次
渠道K,游戏E,是,女,31,5天以上,31至40次
渠道E,游戏C,是,男,42,5天以上,31至40次
渠道E,游戏C,是,男,37,3天,31至40次
渠道K,游戏C,是,男,30,2天,61-100次
渠道B,游戏E,否,女,23,5天以上,31至40次
渠道M,游戏E,否,男,32,3天,31至40次
渠道D,游戏C,是,男,40,2天,31至40次
渠道P,游戏C,否,男,34,1天,31至40次
渠道F,游戏E,否,男,25,5天以上,51至60次
渠道H,游戏E,否,男,32,5天以上,31至40次
渠道M,游戏C,否,男,38,5天以上,31至40次
渠道E,游戏A,是,女,43,5天以上,51至60次
渠道K,游戏C,是,男,40,5天以上,31至40次
渠道I,游戏F,否,女,54,3天,31至40次
渠道F,游戏C,否,男,35,3天,2至10次
渠道P,游戏C,否,男,43,5天以上,31至40次
渠道O,游戏A,否,女,59,5天以上,31至40次
渠道O,游戏C,是,男,56,5天以上,11至20次
渠道D,游戏E,否,男,19,5天以上,31至40次
渠道A,游戏C,是,男,54,2天,1次
渠道E,游戏A,否,男,39,5天以上,31至40次
渠道D,游戏C,否,男,49,5天以上,31至40次
渠道L,游戏E,否,男,23,5天以上,11至20次
渠道M,游戏E,否,男,20,3天,31至40次
渠道E,游戏A,否,男,45,5天以上,31至40次
渠道B,游戏C,否,男,30,5天以上,2至10次
渠道I,游戏C,否,男,22,3天,61-100次
渠道H,游戏E,否,男,48,5天以上,31至40次
渠道H,游戏E,否,男,21,5天以上,31至40次
渠道B,游戏B,否,女,19,5天以上,31至40次
渠道M,游戏C,是,男,31,5天以上,31至40次
渠道K,游戏C,否,男,48,5天以上,51至60次
渠道H,游戏C,否,男,31,5天以上,31至40次
渠道K,游戏C,否,男,53,5天以上,51至60次
渠道O,游戏C,否,男,24,5天以上,31至40次
渠道B,游戏F,否,女,49,5天以上,31至40次
渠道G,游戏E,否,男,25,5天以上,31至40次
渠道K,游戏C,是,男,57,3天,2至10次
渠道H,游戏C,否,男,53,5天以上,31至40次
渠道E,游戏A,否,女,44,5天以上,31至40次
渠道D,游戏C,否,男,41,5天以上,61-100次
渠道K,游戏E,否,男,29,5天以上,31至40次
渠道E,游戏C,否,女,25,4天,31至40次
渠道I,游戏E,否,女,18,5天以上,31至40次
渠道K,游戏C,是,女,47,5天以上,31至40次
渠道E,游戏A,是,男,50,5天以上,2至10次
渠道E,游戏A,否,男,47,5天以上,41至50次
渠道O,游戏C,是,男,43,5天以上,31至40次
渠道H,游戏C,否,男,46,5天以上,31至40次
渠道I,游戏C,否,男,35,5天以上,31至40次
渠道B,游戏C,否,男,41,5天以上,31至40次
渠道H,游戏C,否,男,30,5天以上,31至40次
渠道M,游戏C,否,男,30,5天以上,31至40次
渠道A,游戏D,否,男,32,5天以上,1次
渠道P,游戏C,否,男,48,5天以上,31至40次
渠道K,游戏C,是,男,42,5天以上,31至40次
渠道O,游戏A,否,男,29,5天以上,31至40次
渠道D,游戏C,否,男,36,5天以上,31至40次
渠道B,游戏A,否,女,28,5天以上,31至40次
渠道B,游戏C,是,女,53,5天以上,31至40次
渠道E,游戏C,是,男,49,5天以上,41至50次
渠道A,游戏E,否,男,25,5天以上,1次
渠道K,游戏E,否,男,19,5天以上,31至40次
渠道M,游戏F,否,女,31,3天,31至40次
渠道M,游戏C,是,男,29,5天以上,51至60次
