日期,活跃用户,新增用户,付费率,付费用户,首次付费用户,ARPPU,ARPU
2016-06-01,1734249,213417,0.96 ,16665,11047,19.19,0.18
2016-06-02,1359380,138425,0.79 ,10801,6715,19.84,0.16
2016-06-03,1567893,173605,0.77 ,12065,7750,20.3,0.16
2016-06-04,2154769,320926,0.92 ,19729,13275,21.35,0.2
2016-06-05,2146692,316580,0.90 ,19315,12981,21.14,0.19
2016-06-06,1426261,155008,0.79 ,11249,7153,20.75,0.16
2016-06-07,1444230,162179,0.84 ,12083,7743,19.94,0.17
2016-06-08,1754834,213414,0.86 ,15164,9793,19.43,0.17
2016-06-09,2638497,448204,1.09 ,28869,19667,21.62,0.24
2016-06-10,2443312,391016,1.31 ,32115,22168,21.33,0.28
2016-06-11,2259999,321756,1.33 ,30119,20472,20.2,0.27
2016-06-12,1500552,162762,1.20 ,18049,11560,19.03,0.23
2016-06-13,1393854,141639,1.01 ,14046,8697,18.08,0.18
2016-06-14,1379197,142025,1.05 ,14433,9058,17.91,0.19
2016-06-15,1368469,146451,0.98 ,13452,8549,17.62,0.17
2016-06-16,1365734,145683,0.96 ,13054,8327,17.77,0.17
2016-06-17,1593464,194292,1.02 ,16248,10642,19.04,0.19
2016-06-18,2229427,365801,1.27 ,28388,19901,20.34,0.26
2016-06-19,2229602,344763,1.22 ,27164,18777,20.04,0.24
2016-06-20,1487080,174717,1.04 ,15477,10230,18.12,0.19
2016-06-21,1481944,166944,1.06 ,15782,10397,18.54,0.2
2016-06-22,1477449,160176,1.01 ,14853,9645,18.04,0.18
2016-06-23,1538792,184313,1.03 ,15847,10427,16.02,0.16
2016-06-24,1736293,224709,1.21 ,20958,14195,18.78,0.23
2016-06-25,2254574,367205,1.32 ,29679,20641,18.9,0.25
2016-06-26,2234136,344360,1.32 ,29392,20180,19.3,0.25
2016-06-27,1752225,238537,1.10 ,19231,12976,14.12,0.15
2016-06-28,1886960,268546,1.13 ,21387,14671,15.03,0.17
2016-06-29,1993725,290032,1.08 ,21585,14913,15.1,0.16
2016-06-30,2151874,339619,1.06 ,22881,15778,17.55,0.19
